This column has important keywords, like level name, intro, deaths, end. And alt version for platforms alt-c64 alt-speccy alt-amiga alt-atari (default is CPC with no tag, alt must be after)	Comment (give about about the context of the sentence)	Original french text	Translation ENGLISH	Initial of translator	Word check. Should be less than 168	Translation SPANISH	Initial of translator	Word check. Should be less than 168	Translation ITALIAN	Initial of translator	Word check. Should be less than 168	Translation GREEK	Initial of translator	Word check. Should be less than 168	Translation GERMAN	Initial of translator	Word check. <168	Translation POLISH	Initial of translator	Word check. <168	no
		TRES BIEN. Je cale mon pied sur le premier trou.\n\nFAIS LA SEQUENCE !	VERY GOOD. I've put my\n foot in the first hole.\n\nDO THE SEQUENCE	CLIVE CK	67	MUY BIEN. Tengo mi pie en el primer hoyo.\n\n¡HAZ LA SECUENCIA!	miguelsky robcfg trocoloco	63	MOLTO BENE! Appoggio il piede sul primo foro.\n\nESEGUI LA SEQUENZA!	Mr. DVG	68	ΠΟΛΥ ΚΑΛΑ. Βάζω το πόδι μου στην πρώτη εσοχή.\nΚΑΝΕ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	65	SEHR GUT. Ich setze meinen Fuß in die erste Vertiefung.\nFOLGE DER SEQUENZ!	Yth	75	BARDZO DOBRZE. Umieszczam stopę w pierwszym dołku.\n\nWYKONAJ SEKWENCJĘ!	PS2 SP	72	VELDIG BRA. Jeg holder min fot på det første hullet. \ N \ NFAIS rekkefølge!
		PARFAIT. J'ai gardé mon équilibre. Ces puits sont souvent le repère d'esprits vengeurs. J'espère que ce sera pas le cas ici...	PERFECT. I have kept my balance. These wells are often a beacon for vengeful spirits. I hope\n that's not the case here...	CLIVE CK	122	PERFECTO. Guardo el equilibrio. Estos pozos son a menudo la guarida de espíritus vengativos. Espero que este no sea el caso...	miguelsky robcfg trocoloco	126	PERFETTO! Ho mantenuto il mio equilibrio. Questi pozzi sono spesso il rifugio di spiriti vendicativi. Speriamo non sia questo il caso...	Mr. DVG	136	ΤΕΛΕΙΑ. Διατήρησα την ισορροπία μου. Τέτοια πηγάδια συχνά προσελκύουν πνεύματα που διψούν για εκδίκηση. Ας ελπίσουμε να μην είναι έτσι εδώ πέρα...	msg/SK	146	PERFEKT. Ich habe mein Gleichgewicht gehalten. In solchen Brunnen sammeln sich gerne rachsüchtige Geister. Ich hoffe mal, nicht in diesem...	Yth	140	DOSKONALE. Utrzymałem równowagę. Studnie te są często przejściem dla mściwych duchów. Mam nadzieję, że nie jest tak właśnie w tym przypadku...	PS2 SP	142	PERFEKT. Jeg holdt min balanse. Disse brønnene er ofte merket av hevngjerrige åndene. Jeg håper dette ikke er tilfelle her ...
		OK. J'arrive sur le second trou. Jusque-là tout se passe bien.\n\nFAIS LA SEQUENCE !	Okay. I’m on the second hole.\n So far so good.\n\nDO THE SEQUENCE	CLIVE CK	66	BIEN. Llego al segundo hoyo. Hasta aquí todo bien.\n\n¡REALIZA LA SECUENCIA!	miguelsky robcfg trocoloco	76	OK! Sono arrivato al secondo foro. Finora va tutto bene.\n\nESEGUI LA SEQUENZA!	Mr. DVG	79	Τέλεια, είμαι στη δεύτερη εσοχή. Ως εδώ, καλά.\nΚΑΝΕ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	66	Okay, ich bin an der zweiten Vertiefung. So weit, so gut.\nSCHAFFE DIE SEQUENZ	Yth	78	OK. Jestem przy drugim otworze. Jak do tej pory to wszystko idzie dobrze.\n\nWYKONAJ SEKWENCJĘ.	PS2 SP	95	GREIT. Jeg kommer på det andre hullet. Så langt alt vel. \ N \ NFAIS rekkefølge!
		BRAVO. Tout est sous contrôle. Au japon, il n'est pas rare qu'on balance des corps dans des puits. C'est pour ça que les esprits vengeurs sont souvent là.	BRAVO. Everything is under control. In Japan, it is not uncommon for bodies to be dumped\n in wells. That’s why vengeful spirits are often there.	CLIVE CK	145	BRAVO. Todo está bajo control. En Japón, no es extraño que se arrojen cadáveres en los pozos. Es por eso que los espíritus vengativos suelen estar ahí.	miguelsky robcfg trocoloco	151	BRAVO! E`tutto sotto controllo. In Giappone non è raro che i corpi vengano gettati nei pozzi. Ecco spiegato il perché sugli spiriti vendicativi.	Mr. DVG	144	ΜΠΡΑΒΟ. Όλα είναι υπό έλεγχο. Στην Ιαπωνία δεν είναι τόσο σπάνιο να ξεφορτώνονται πτώματα, ρίχνοντάς τα σε πηγάδια. Για αυτό και συχνά βρίσκονται κακά πνεύματα εκεί.	msg/SK	165	BRAVO. Alles unter Kontrolle. In Japan ist es nicht ungewöhnlich, dass Leichen in Brunnen versenkt werden. Darum tummeln sich da oft Rachegeister.	Phoenix Yth	146	BRAWO. Wszystko jest pod kontro--lą. W Japonii nie jest niczym nie--zwykłym, aby ukrywać czy wrzucać ci--ała do studni. Dlatego mściwe du--chy często tam się gnieżdżą.	PS2 SP	167	BRA GJORT. Alt er under kontroll. I Japan er det ikke uvanlig å balansere kroppen i brønner. Det er derfor de hevn ånder er ofte der.
		BIEN. C'est bon pour le troisième trou...\n\nFAIS LA SEQUENCE !	GOOD. I'm at the third hole...\n\nDO THE SEQUENCE	CLIVE CK	49	BIEN. A por el tercer hoyo...\n\n¡EJECUTA LA SECUENCIA!	miguelsky robcfg trocoloco	55	BENE! Andiamo verso il terzo foro...\n\nESEGUI LA SEQUENZA!	Mr. DVG	59	ΚΑΛΩΣ. Πήγε καλά και η τρίτη εσοχή.\nΚΑΝΕ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	55	GUT. Nun zu Nummer drei...\nFOLGE DER SEQUENZ	Yth	45	DOBRZE. Jestem na wysokości trzeciego otworu... Ostrożnieee... \n\nWYKONAJ SEKWENCJĘ.	PS3 SP2	85	GOD. Det er bra for det tredje hullet ... \ n \ NFAIS rekkefølge!
		IMPEC. Allez, on a bientôt fait la première partie de la descente. et pas la queue d'un ONRYO pour le moment. Pourtant je suis certain qu'il y a des horreurs en bas.	EXCELLENT. Come on, we’ve almost done the first part of the descent. No sign of an ONRYO\nyet - but I’m sure there are\n horrors down there...	CLIVE CK	142	GENIAL. Vamos, estamos a punto de terminar la primera parte del descenso. y no veo la cola de un ONRYO de momento. Pero estoy seguro de que hay horrores ahí abajo.	miguelsky robcfg trocoloco	163	IMPECCABILE! Dai, la prima parte della discesa è quasi fatta. Nessuna coda di ONRYO al momento. Eppure sono certo che là sotto sia pieno di orrori!	Mr. DVG	147	ΆΨΟΓΑ. Έλα, σχεδόν τελειώσαμε το πρώτο κομμάτι της καθόδου. Και ακόμα ούτε ίχνος από κακό πνεύμα. Αλλά σίγουρα θα συναντήσουμε φρικτά πράγματα εκεί κάτω.	msg/SK	153	AUSGEZEICHNET. Komm, wir haben fast den ersten Teil geschafft. Und nicht ein ONRYO in Sicht bisher. Allerdings bin ich mir sicher, unten lauert irgendwas...	Yth	156	ŚWIETNIE No dalej, jesteśmy prawie na końcu pierwszej części zejścia. Na razie nie widzę demonów ONRYO, ale jestem pewien że nie--mały horror czeka nas na dole.	PS2 SP	160	IMPEC. Kom igjen, vi snart gjort første del av nedstigningen. og ikke halen til en onryou tiden. Men jeg er sikker på at det er redsler ned.
		PARFAIT. C'est bon pour le dernier trou.\n\nFAIS LA SEQUENCE !	PERFECT. It’s looking good\n for the last hole.\n\nDO THE SEQUENCE.	CLIVE CK	67	PERFECTO. Vamos a por el último hoyo.\n\n¡HAZ LA SECUENCIA!	miguelsky robcfg trocoloco	59	PERFETTO! Andiamo bene per l'ultimo foro.\n\nESEGUI LA SEQUENZA!	Mr. DVG	64	ΤΕΛΕΙΑ. Πήγε καλά και η τελευταία εσοχή.\nΚΑΝΕ ΤΗΝ ΑΚΟΛΟΥΘΙΑ	msg/SK	60	PERFEKT. Sieht gut aus. Die letzte Vertiefung.\nBEENDE DIE SEQUENZ	Yth	66	DOSKONALE. Jesteśmy blisko ostatniego dołka.\n\nWYKONAJ SEKWENCJĘ.	PS2 SP	66	PERFEKT. Det er bra til det siste hullet. \ N \ NFAIS rekkefølge!
	"trankil" is young way of saying "quiet / chilling". "Wesh" stand for "yes / yep" for young bad guys.	YEAHHHHH. Tout s'est bien passé. Trankil wesh gros. On va descendre comme ça. Je t'avais bien dit que mes crampons pouvaient franchir n'importe quoi !	YEAHHHHH. Everything went well. Chill bro. We can continue down like this. I told you that my crampons could traverse anything!	CLIVE CK	127	SEEEEHHH. Okey mackey, ha ido genial. Sigamos bajando así. ¡Te dije que mis crampones podían atravesar cualquier cosa!	miguelsky robcfg trocoloco	118	YEAHHHHH! Tutto è andato bene! Bella fratè! Scendiamo così. Te l'avevo detto che le mie scarpette potevano scalare qualsiasi cosa!	Mr. DVG	130	ΝΑΙΙΙΙΙΙ. Όλα πήγαν καλά. Τσίλαρε, μόρτη. Έτσι κατεβαίνουν οι μάγκες. Στο λεγα οτι με τα καρφιά μου σκαρφαλώνω παντού!	msg/SK	118	YEAH. Sehr gut gelaufen. Fett krass chillig. Ich habe Dir ja gesagt, dass ich alles besteigen kann!	Yth	99	TAAAK! Udało się!! Tylko spokojnie brachu. W ten sposób damy radę przejść całość. Mówiłem Ci, że moje zaczepy pomogą nam pokonać wszystko!	PS2 SP	138	Yeahhhhh. Alt gikk bra. Trankil stor gangsta. Vi vil gå ned sånn. Jeg hadde faktisk fortalt deg mine stegjern kan overvinne alt!
		AHHH MERDE. Un gros bloc de pierre se détache. Je tente de me rattraper sur ce que je peux, mais impossible. Je tombe dans le puits ça va être chaud là !!!!	AHHH SHIT. A big block of stone comes off. I try to grab hold again, but it's impossible.\n I’m falling down the well.\n It’s gonna be hot!!	CLIVE CK	140	AHH MIERDA. Un gran bloque de piedra se está desprendiendo. Trato de compensar lo que puedo, pero es imposible. ¡Voy a caer al pozo!	miguelsky robcfg trocoloco	132	OH MERDA! Un grande blocco di pietra si stacca. Cerco di fare quello che posso, ma è impossibile. Sto per cadere nel pozzo!	Mr. DVG	123	ΩΧΧΧΧ ΣΚΑΤΑ. Μια μεγάλη πέτρα φεύγει από τη θέση της. Προσπαθώ να μην χάσω την ισορροπία μου, αλλά είναι αδύνατον. Πέφτω στο πηγάδι. Μεγάλη μαλακία.	msg/SK	148	OH SCHEISSE. Ein großer Steinblock löst sich. Ich versuche nachzufassen, kann mich aber nicht mehr festkrallen. Ich falle in den Brunnen. Es wird immer heißer!	Yth	159	AHHH CHOLERA! Duży kamień odrywa się od ściany. Staram się złapać czegokolwiek, ale to niemożliwe. SPADAM w dół studni!!! Na pewno będzie tam gorąco!	PS3 SP2	149	AHHH SHIT. En stor kampestein står. Jeg prøver å fange opp hva jeg kan, men umulig. Jeg faller ned i brønnen kommer til å bli varmt der !!!!
deaths		NON. C'est bien trop loin ça ! Je saute pour descendre plus vite Eh bien c'est réussi ! J'ai tout dévalé la tête la première et je meurs 30 mètres plus bas !	NO. It’s way too far! I jumped to go down faster - and now I'm going TOO FAST! I topple head-first and die 30 meters down!	CLIVE CK	122	NO. ¡Está muy lejos! Salto para bajar más rápido y bajo a toda velocidad ¡Me estampo la cabeza y muero 30 metros más abajo!	miguelsky robcfg trocoloco	123	NO! E`troppo lontano! Salto per scendere più veloce e la frittata è fatta! Mi butto a testa in giù e muoio 30 metri più in basso!	Mr. DVG	129	ΟΧΙ. Είναι πάρα πολύ μακριά! Πηδάω για να πάω πιο γρήγορα και, όντως, τα καταφέρνω. Πέφτω βολίδα κάτω 30 μέτρα με το κεφάλι και γκρεμοτσακίζομαι.	msg/SK	145	NEIN. Das ist viel zu weit! Ich springe, um schneller runter zu kommen. Immerhin hat das geklappt: Kopfüber stürze ich hinab und sterbe 30 Meter weiter unten!	Yth	158	NIE! To za daleko! Odbijam się by opadać szybciej i świetnie mi się to udaje! BARDZO SZYBKO spadam głową w dóły i umieram 30 metrów niżej!	PS2 SP	138	NEI. Det er for langt! Jeg hopper å stige raskere Vel dette er det! Jeg bare gled ned med hodet først, og jeg dør 30 meter under!
		Ah NON couillon. Je dérape et je glisse. Impossible d'attraper quelque chose, et je m'écrase 30 mètres plus bas. Et un ninja tout plat !	Ah BALLS. I slip and slide. It's impossible to catch anything,\n and I crash 30 meters lower.\n One flat ninja!	CLIVE CK	111	Ah NO, idiota. Resbalo y resbalo. No puedo agarrarme a nada, y me estrello 30 metros más abajo. ¡Un ninja plano!	miguelsky robcfg trocoloco	112	Oh NO, coglione... scivolo! Impossibile aggrapparsi a qualcosa. Mi schianto 30 metri più in basso. Ecco a voi un ninja appiattito!	Mr. DVG	130	ΑΡΧΙΔΙΑ. Γλιστράω. Είναι αδύνατον να πιαστώ από κάπου και γκρεμοτσακίζομαι 30 μέτρα κάτω. Νίντζα σε χαλκομανία!	msg/SK	111	Ach NEIN, verfickt. Ich rutsche und rutsche. Es ist unmöglich, sich festzuhalten, und ich stürze\n30 Meter in die Tiefe. Bitte sehr, einmal flacher Ninja!	Yth	154	Oh nie, matole. Ślizgam się i zjeżdzam. Nie ma się czego złapać i rozbijam się o podłogę 30 metrów niżej. I tak powstaje zupełnie płaski jak placek ninja!	PS2 SP	154	Oh NO idiot. Jeg skled og jeg gled. Kan ikke ta noe, og jeg krasjet 30 meter nedenfor. Og en ninja annen rett!
end		NON Gros naze. C'est pourtant pas difficile d'appuyer sur des flèches non ? En attendant je glisse et je me fracasse la tête 30 mètres plus bas...	NO you dick. Surely it’s not\n difficult to press arrows?\n In the meantime I slide and I\n smash my head 30 meters down...	CLIVE CK	123	NO Imbécil. No puede ser tan difícil presionar las flechas, ¿no? Entretanto, resbalo y me reviento la cabeza 30 metros más abajo...	miguelsky robcfg trocoloco	131	NO! Grande minchione! Ma è così difficile premere quelle frecce? Nel frattempo scivolo e mi fracasso la testa 30 metri più in basso...	Mr. DVG	134	ΟΧΙ, καραγκιοζάκο. Τόσο δύσκολο είναι να πατάς τα βελάκια; Εν τω μεταξύ, γλιστράω και σπάω το κεφάλι μου 30 μέτρα κάτω...	auto/SK	121	NEIN, Du Flachpfeife. Eigentlich nicht schwer, ein paar Pfeile zu drücken, oder? Stattdessen rutsche ich weg und zerschlage mir den Kopf 30 Meter tiefer...	Yth	155	NIE TAK TRĄBO!! Nie jest chyba tak trudno wcisnąć właściwą strzałkę, nie? Tymczasem ja ześlizguję się i rozbijam głowę 30 metrów niżej...	PS2 SP	137	Ingen big suger. Likevel er det ikke vanskelig å trykke på pilen ikke? Imens jeg slip og jeg knuste hodet 30 meter nedenfor ...
Level62		Original french text. Uppercases words appear in Yellow in game, so keep them uppercase. 	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.	add your initials in that cell		ROJO = Sin traducir ORANGE = Traducido Verde = traducido y verificado.	add your initials in that cell		ROSSO = Non tradotto ARANCIONE = Tradotto Verde = Tradotto e verificato.	add your initials in that cell		ΚΟΚΚΙΝΟ = Χωρίς μετάφραση ORANGE = Μεταφράστηκε Πράσινο = Μεταφρασμένη και επαλήθευσε.	add your initials in that cell		ROT = Nicht übersetzt ORANGE = Übersetzt Grün = übersetzt und verifiziert.	auto	74	RED = Not translated ORANGE = Translated  GREEN = Translated and verified.		74	Original fransk tekst. Uppercases OPPLYSNINGER ord i gult i spillet, så hold 'em store bokstaver. 
intro	Ninja is now falling, player sees animated image, falling. The cursor is also always falling.	Bon on est mal barrés là ! J'ai perdu le contrôle comme une buse et je suis en train de chuter dans le puits. Y'a au moins 30m et ça a l'air encombré.	Well, we’re in trouble now!\n I flapped like a buzzard and\n now I’m falling down the well.\n It’s at least 30m down,\n and it looks crowded...	CLIVE CK	143	¡Estamos jodidos! Pierdo el equilibrio como un buitre y me caigo al pozo. Hay al menos 30 metros y parece estar abarrotado.	miguelsky robcfg trocoloco	123	Bene, siamo nei guai! Ho perso il controllo come un fagiano e sto cadendo in fondo al pozzo. Sono almeno 30 metri lì sotto e sembra affollato.	Mr. DVG	142	Λοιπόν, την πατήσαμε τώρα! Χάνω τον έλεγχο και πέφτω στο κενό, σαν τσαλαπετεινός. Μιλάμε για τουλάχιστον 30 μέτρα πτώση και με διάφορα εμπόδια.	msg/SK	143	Nun haben wir Schwierigkeiten! Ich habe die Kontrolle verloren und stürze wie ein Jungvogel den Brunnen herunter. Er ist 30m tief und ist voller Hindernisse.	Yth	157	Cóż, teraz to mamy przerąbane Straciłem równowagę i jak jastrząb spadam w głąb studni. Bedzie conajmniej 30m w dół i zdaje się jest tam całkiem tłoczno...	PS3 SP2	154	Vel vi er skrudd der! Jeg mistet kontrollen som en dyse og jeg faller ned i brønnen. Det er minst 30 m og det ser rotete.
	In the text there are three time where the Ninja call the player "my testicle of...". I used Wolf, Panda, and Fugu. The 2 last are linked to japan and the last if funny because absurd as a fish do not have balls. But in France we used often "couilles" for a lot of things. Even girls can say "je m'en bat les couilles" means "I hit my balls" to say "I do not care", and obviously they do not have testicles!	Ma seule chance est d'éviter les gros obstacles et de tenter de me rattraper avant de toucher le sol. Je compte sur toi pour me trouver un chemin ma couille de loup.	My only chance is to avoid the big obstacles and try to catch hold before I hit the ground.\n I’m counting on you to find\n me a way, nutsack.	CLIVE CK	142	Sólo puedo evitar los obstáculos grandes y tratar de agarrar algo antes de llegar abajo. Cuento contigo para que des con un camino, mi cojón de lobo.	miguelsky robcfg trocoloco	149	La mia unica possibilità è evitare i grossi ostacoli e cercare di fermarmi prima di toccare terra. Conto su di te per trovare un modo, palle mosce!	Mr. DVG	147	Η μόνη μου ευκαιρία είναι να αποφύγω τα μεγάλα εμπόδια και να προσπαθήσω να ανακόψω την πτώση μου, πριν τσακιστώ. Βασίζομαι σε σένα να μου βρεις τρόπο, τσάκαλε.	msg/SK	160	Meine einzige Chance ist, den Hindernissen auszuweichen und Halt zu finden, bevor ich aufschlage. Du findest bestimmt eine Möglich-\nkeit, kleiner Wolfspimmel.	Yth	159	Moja jedyna szansa to unikać dużych przeszkód i złapiac się czegoś by wyhamować przed dotknię--ciem ziemi. Liczę na to, że znaj--dziesz jakiś sposób, wymoczku.	PS2 SP	159	Min eneste sjanse er å unngå store hindringer og prøve å fange meg før du berører bakken. Jeg stole på deg til å finne vei til min testikkel ulv.
		BRAVO. J'ai évité une énorme racine sur le côté gauche. Elle m'aurait sûrement éventré. Reste sur tes gardes.	BRAVO. I avoided a huge root on the left side. It would surely have gutted me. Be on your guard.	CLIVE CK	96	BRAVO. Esquivo una raíz enorme en el lado izquierdo. Posiblemente me habría despanzurrado. Continúa alerta.	miguelsky robcfg trocoloco	107	BRAVO! Ho evitato una radice enorme sul lato sinistro. Probabilmente mi avrebbe sventrato. Stai in guardia!	Mr. DVG	107	ΜΠΡΑΒΟ. Απέφυγα μια τεράστια ρίζα στην αριστερή πλευρά. Θα με είχε σίγουρα ξεκοιλιάσει. Να εισαι σε επιφυλακή.	msg/SK	110	BRAVO. Ich weiche einer riesigen Wurzel auf der linken Seite aus. Sie hätte mich sicherlich ausgeweidet. Bleib wachsam.	Yth	119	BRAWO. Udało mi się ominąć ogromny korzeń wystający z lewej strony. Gdybym na niego trafił, na pewno by mnie wypatroszył. Miej się na baczności.	PS2 SP	144	BRA GJORT. Jeg unngikk en stor rot på venstre side. Hun ville ha dratt meg sikkert. Bo på vakt.
		BIEN. Une lame dépasse sur le côté droit. J'ai pu l'éviter de justesse. Cette aventure c'est sûrement ce que j'ai fait de plus ouf dans ma vie !!	GOOD. A blade protrudes on the right side. I barely avoided it. This is the most exciting\n adventure of my life!	CLIVE CK	113	BIEN. Una cuchilla sobresale por el lado derecho. Apenas pude evitarla. ¡Esta aventura es seguramente lo más loco que he hecho en mi vida!	miguelsky robcfg trocoloco	138	BENE! Una lama sporge sul lato destro. Ho potuto evitarla a malapena. Questa avventura è senza dubbio la più divertente di tutta la mia vita!	Mr. DVG	141	ΩΡΑΙΟΣ. Μια λεπίδα προεξέχει από τη δεξιά πλευρά. Ίσα που την αποφεύγω. Αυτή η ιστορία είναι από τα πιο δύσκολα πράγματα που έχω κάνει στην ζωή μου!	msg/SK	148	GUT. Rechts ragt eine Klinge aus der Wand. Ich komme gerade so an ihr vorbei. Das ist wirklich das abgefahrendste Abenteuer meines Lebens! 	Yth	139	DOBRZEEE. Udaje mi się ominąć zabójcze ostrze wystające z prawej strony. Muszę przyznać, że to jest najbardziej emocjonująca przygoda jaką do tej pory miałem w życiu!	PS2 SP	166	GOD. Et blad stikker ut på høyre side. Jeg var i stand til å snevert unngå. Dette eventyret er absolutt det jeg har gjort mer i mitt liv puh !!
		OUI. Des sortes de griffes sortent de chaque côté du puits. Je reste bien au centre et j'évite de me faire découper. C'est pas passé loin dis donc.	YES. Some kind of claws come out on either side of the well. I stay in the centre and avoid being slashed. It was close though!	CLIVE CK	127	SÍ. Una especie de garras salen desde ambos lados del pozo. Me mantengo en el centro y evito que me corten. Estuvo cerca.	miguelsky robcfg trocoloco	121	SI`! Delle cose simili ad artigli escono da entrambi i lati del pozzo. Rimango al centro per evitare di farmi affettare. Sono passati molto vicini!	Mr. DVG	147	ΝΑΙ. Κάτι νύχια βγαίνουν και από τις δύο πλευρές του πηγαδιού. Μένω στο κέντρο και αποφεύγω να κοπώ. Δεν έχει μείνει πολύ. 	msg/SK	123	JA. Der Brunnen ist hier beidseitig mit Krallen versehen. Ich bleibe in der Mitte, um nicht aufgeschlitzt zu werden. Knappe Sache.	Yth	130	OK. Jakieś ostre szpony wystają z każdej strony studni więc utrzymuję się w centrum, by uniknąć pocięcia na kawałki. Trzeba jednak przyznać, że było blisko!	PS2 SP2	156	JA. Typer klør ut fra hver side av brønnen. Jeg bor i sentrum og jeg unngå å gjøre min del. Det var en nær si det.
	this is japanese folklore, skeletons in pits	Une main squelettique tente de m'attraper. C'est un esprit vengeur, que j'évite. OUIIII. Ah merde, je me suis pissé dessus. Et j'ai pas pris de rechange !!!	A skeletal hand tries to catch\n me. It is a vengeful spirit,\n which I avoid. YES! Made me\n piss myself though. And I\n didn’t bring spare pants!	CLIVE CK	147	Una mano esquelética intenta atraparme. Es un espíritu vengativo, lo esquivo. SIIII. Ay, mierda, me meé encima. ¡Y no he traido más mudas!	miguelsky robcfg trocoloco	138	Una mano scheletrica tenta di prendermi. E`uno spirito vendicativo che evito al volo. BRRR! Oh merda, mi sono cacato sotto! E sono pure senza il cambio!	Mr. DVG	152	Ένα χέρι σκελετού προσπαθεί να με αρπάξει. Είναι ένα κακό πνεύμα, το οποίο αποφεύγω. ΝΑΙΙΙ. Όχι, ρε πούστη μου, κατουρήθηκα πάνω μου και δεν κρατάω μια αλλαξιά!!	msg/SK	161	Eine Skeletthand greift nach mir. Also doch Rachegeister. Ich weiche aus. JA. Na toll, jetzt habe ich mich eingepisst. Und natürlich keine Ersatzhose dabei.	Yth	156	Jakaś koścista łapa stara się mnie złapać. To zapewne te mściwe duchy, których należy unikać. Oj, chyba mam MOKRO. I na dodatek nie zabrałem zapasowych portek!	PS2 SP	159	En skjelett hånd prøver å fange meg. Det er en hevngjerrig ånd, som jeg unngå. Ouiiii. Oh shit, jeg fikk forbanna. Og jeg har ikke tatt fritiden !!!
		BRAVO OUI. Je me replace bien pour la dernière manoeuvre. J'arrive bientôt en bas du puits. La bonne nouvelle c'est que jusqu'ici tout va bien !	BRAVO YES. I’m well-positioned for the last manoeuvre. I’ll be down the well soon. The good news is that so far everything is fine!	CLIVE CK	131	BRAVO SÍ. Me estoy acomodando bien para la última maniobra. El fondo está cerca. ¡La buena noticia es que hasta ahora todo va bien!	miguelsky robcfg trocoloco	131	BRAVO, SI`! Mi preparo per l'ultima manovra. Presto arriverò in fondo al pozzo. La buona notizia è che finora va tutto bene!	Mr. DVG	124	ΜΠΡΑΒΟ, ΝΑΙ. Παίρνω θέση για την τελευταία μανούβρα. Σύντομα θα βρίσκομαι στον πάτο του πηγαδιού. Τα καλά νέα είναι οτι, ως εδώ, όλα έχουν πάει καλά!	msg/SK	149	BRAVO, JA. Für das letzte Manöver bin ich in guter Position. Es ist nicht mehr weit bis zum Grund. Und das Gute ist, alles ist bestens!	Yth	135	O TAK! Jestem dobrze ustawiony do ostatniego manewru i wkrótce dotrę na dno studni. Dobra wiadomość jest taka, że jak na razie wszystko układa się jak trzaba!	PS2 SP	158	BRAVO YES. Jeg erstatte vel siste manøver. Jeg kommer snart bunnen av brønnen. Den gode nyheten er at så langt så bra!
	"okayu" is japanese food	Je vois de la lumière. Je vais arriver au fond du puits dans pas longtemps. Il va vraiment falloir que tu assures là pour pas que je finisse en bouillie OKAYU.	I see the light.\n I'll be at the bottom soon.\n Can you promise me that I won't\n turn into OKAYU porridge?	CLIVE CK	108	Veo la luz. Llegaré al fondo en nada de tiempo. Vas a tener que ser muy bueno aquí para que no acabe como un OKAYU.	miguelsky robcfg trocoloco	115	Vedo la luce. Arriverò in fondo al pozzo tra poco. Dovrai fare un buon lavoro, così almeno non finirò in un porridge OKAYU.	Mr. DVG	123	Βλέπω φως. Θα βρίσκομαι στον πάτο του πηγαδιού στο άψε σβήσε. Έχε το νου σου, μην καταλήξω σαν χυλός okayu.	msg/SK	107	Ich sehe Licht. Gleich bin ich unten. Versprich mir, dass ich nicht zu OKAYU-BREI werde.	Yth	88	Widzę światło! Zaraz będę na dnie studni. Możesz mi przyrzec, że nie zamienię się w owsiankę OKAYU?	PS2 SP2	99	Jeg ser lyset. Jeg får til brønnens bunn på kort tid. Det vil virkelig være nødvendig at man forsikrer ikke det for meg å fullføre i okayu grøt.
deaths		AIE. Une grosse racine sur le côté gauche. J'étais pas dans la bonne posture pour l'éviter et elle m'a carrément éventré. Je reste pendu par les boyaux.	AIE. A big root on the left side. I was in the wrong position to avoid it and it totally ripped me open. I’m hanging by my guts.	CLIVE CK	128	AY. Una enorme raíz en el lado izquierdo. No estoy en la postura correcta para evitarla y me destroza. Me quedo colgado por los intestinos.	miguelsky robcfg trocoloco	139	AHIA! Una grossa radice sul lato sinistro. Non ero nella posizione corretta per evitarla e mi ha squarciato. Rimango appeso per le budella.	Mr. DVG	139	ΩΧ. Στην αριστερή μεριά έχει μια μεγάλη ρίζα. Δεν ήμουν σε καλή θέση για να την αποφύγω και με ξέσκισε ολοκληρωτικά. Καταλήγω να κρέμομαι από τα άντερά μου.	msg/SK	156	URGH. Eine große Wurzel linksseitig. Ich hatte die falsche Position, um ihr auszuweichen, und sie hat mich aufgerissen. Nun hänge ich an meinem Gedärm. 	Yth	152	AUĆ. Trafiam w duży korzeń po lewej stronie. Nie byłem dobrze przygotowany by go uniknąć i korzeń wręcz wypatroszył mnie. Zawisłem na własnych kichach!	PS2 SP	151	AU. En stor rot på venstre side. Jeg var ikke i riktig posisjon for å unngå og downright dratt meg. Jeg er fortsatt henger med slanger.
